Original Name,BDMAP Name
CAPS_FELIX-CAPS-1013_A_Venous,BDMAP_O0000477
CAPS_FELIX-CAPS-1013_Main_Venous,BDMAP_O0000478
CAPS_FELIX-CAPS-1014_Venous,BDMAP_O0000479
CAPS_FELIX-CAPS-1020_ROUTINE,BDMAP_O0000480
CAPS_FELIX-CAPS-1021_Arterial,BDMAP_O0000481
CAPS_FELIX-CAPS-1021_Venous,BDMAP_O0000482
CAPS_FELIX-CAPS-1023_Venous,BDMAP_O0000483
CAPS_FELIX-CAPS-1024_a_Arterial,BDMAP_O0000486
CAPS_FELIX-CAPS-1024_a_Venous,BDMAP_O0000487
CAPS_FELIX-CAPS-1024_Main_Arterial,BDMAP_O0000484
CAPS_FELIX-CAPS-1024_Main_Venous,BDMAP_O0000485
CAPS_FELIX-CAPS-1027_Arterial,BDMAP_O0000488
CAPS_FELIX-CAPS-1027_Venous,BDMAP_O0000489
CAPS_FELIX-CAPS-1027_Venous2,BDMAP_O0000490
CAPS_FELIX-CAPS-1028_ROUTINE,BDMAP_O0000491
CAPS_FELIX-CAPS-1029_ROUTINE,BDMAP_O0000492
CAPS_FELIX-CAPS-1031_a_Venous,BDMAP_O0000494
CAPS_FELIX-CAPS-1031_Main_Venous,BDMAP_O0000493
CAPS_FELIX-CAPS-1032_Venous,BDMAP_O0000495
CAPS_FELIX-CAPS-1033_Arterial2,BDMAP_O0000496
CAPS_FELIX-CAPS-1033_Venous1,BDMAP_O0000497
CAPS_FELIX-CAPS-1033_Venous2,BDMAP_O0000498
CAPS_FELIX-CAPS-1035_Arterial,BDMAP_O0000499
CAPS_FELIX-CAPS-1035_Venous,BDMAP_O0000500
CAPS_FELIX-CAPS-1036_Main_Arterial,BDMAP_O0000501
CAPS_FELIX-CAPS-1036_Main_Venous,BDMAP_O0000502
CAPS_FELIX-CAPS-1037_a_Venous,BDMAP_O0000505
CAPS_FELIX-CAPS-1037_b_Venous,BDMAP_O0000506
CAPS_FELIX-CAPS-1037_c_Venous,BDMAP_O0000507
CAPS_FELIX-CAPS-1037_Main_Arterial,BDMAP_O0000503
CAPS_FELIX-CAPS-1037_Main_Venous,BDMAP_O0000504
CAPS_FELIX-CAPS-1038_a_Arterial,BDMAP_O0000510
CAPS_FELIX-CAPS-1038_a_Venous,BDMAP_O0000511
CAPS_FELIX-CAPS-1038_b_Venous,BDMAP_O0000512
